filename,sample_id,design_name,macro_count,clock,utilization,macro_placement,power_mesh,filler_insertion
2187-RISCY-b-1-c2-u0.8-m1-p8-f1,2187,RISCY-b,1,2,0.8,1,8,1
2634-RISCY-b-1-c20-u0.75-m3-p1-f1,2634,RISCY-b,1,20,0.75,3,1,1
2047-RISCY-b-1-c2-u0.75-m2-p4-f0,2047,RISCY-b,1,2,0.75,2,4,0
2699-RISCY-b-1-c20-u0.9-m3-p7-f1,2699,RISCY-b,1,20,0.9,3,7,1
2150-RISCY-b-1-c2-u0.7-m3-p3-f1,2150,RISCY-b,1,2,0.7,3,3,1
2620-RISCY-b-1-c20-u0.75-m1-p3-f1,2620,RISCY-b,1,20,0.75,1,3,1
2609-RISCY-b-1-c20-u0.7-m2-p8-f1,2609,RISCY-b,1,20,0.7,2,8,1
2332-RISCY-b-1-c5-u0.85-m2-p5-f0,2332,RISCY-b,1,5,0.85,2,5,0
2330-RISCY-b-1-c5-u0.85-m2-p3-f0,2330,RISCY-b,1,5,0.85,2,3,0
2036-RISCY-b-1-c2-u0.75-m1-p1-f0,2036,RISCY-b,1,2,0.75,1,1,0
2169-RISCY-b-1-c2-u0.75-m2-p6-f1,2169,RISCY-b,1,2,0.75,2,6,1
2404-RISCY-b-1-c5-u0.75-m2-p5-f1,2404,RISCY-b,1,5,0.75,2,5,1
2496-RISCY-b-1-c20-u0.7-m2-p3-f0,2496,RISCY-b,1,20,0.7,2,3,0
2094-RISCY-b-1-c2-u0.85-m2-p3-f0,2094,RISCY-b,1,2,0.85,2,3,0
2399-RISCY-b-1-c5-u0.75-m1-p8-f1,2399,RISCY-b,1,5,0.75,1,8,1
2423-RISCY-b-1-c5-u0.8-m1-p8-f1,2423,RISCY-b,1,5,0.8,1,8,1
2670-RISCY-b-1-c20-u0.85-m1-p5-f1,2670,RISCY-b,1,20,0.85,1,5,1
2381-RISCY-b-1-c5-u0.7-m2-p6-f1,2381,RISCY-b,1,5,0.7,2,6,1
2502-RISCY-b-1-c20-u0.7-m3-p1-f0,2502,RISCY-b,1,20,0.7,3,1,0
2642-RISCY-b-1-c20-u0.8-m1-p1-f1,2642,RISCY-b,1,20,0.8,1,1,1
2226-RISCY-b-1-c2-u0.85-m3-p7-f1,2226,RISCY-b,1,2,0.85,3,7,1
2269-RISCY-b-1-c5-u0.7-m3-p3-f0,2269,RISCY-b,1,5,0.7,3,3,0
2417-RISCY-b-1-c5-u0.8-m1-p2-f1,2417,RISCY-b,1,5,0.8,1,2,1
2025-RISCY-b-1-c2-u0.7-m2-p6-f0,2025,RISCY-b,1,2,0.7,2,6,0
2416-RISCY-b-1-c5-u0.8-m1-p1-f1,2416,RISCY-b,1,5,0.8,1,1,1
2515-RISCY-b-1-c20-u0.75-m1-p6-f0,2515,RISCY-b,1,20,0.75,1,6,0
2108-RISCY-b-1-c2-u0.9-m1-p1-f0,2108,RISCY-b,1,2,0.9,1,1,0
2013-RISCY-b-1-c2-u0.7-m1-p2-f0,2013,RISCY-b,1,2,0.7,1,2,0
2494-RISCY-b-1-c20-u0.7-m2-p1-f0,2494,RISCY-b,1,20,0.7,2,1,0
2603-RISCY-b-1-c20-u0.7-m2-p2-f1,2603,RISCY-b,1,20,0.7,2,2,1
2526-RISCY-b-1-c20-u0.75-m3-p1-f0,2526,RISCY-b,1,20,0.75,3,1,0
2272-RISCY-b-1-c5-u0.7-m3-p6-f0,2272,RISCY-b,1,5,0.7,3,6,0
2396-RISCY-b-1-c5-u0.75-m1-p5-f1,2396,RISCY-b,1,5,0.75,1,5,1
2366-RISCY-b-1-c5-u0.9-m3-p7-f0,2366,RISCY-b,1,5,0.9,3,7,0
2412-RISCY-b-1-c5-u0.75-m3-p5-f1,2412,RISCY-b,1,5,0.75,3,5,1
2014-RISCY-b-1-c2-u0.7-m1-p3-f0,2014,RISCY-b,1,2,0.7,1,3,0
2597-RISCY-b-1-c20-u0.7-m1-p4-f1,2597,RISCY-b,1,20,0.7,1,4,1
2668-RISCY-b-1-c20-u0.85-m1-p3-f1,2668,RISCY-b,1,20,0.85,1,3,1
2022-RISCY-b-1-c2-u0.7-m2-p3-f0,2022,RISCY-b,1,2,0.7,2,3,0
2529-RISCY-b-1-c20-u0.75-m3-p4-f0,2529,RISCY-b,1,20,0.75,3,4,0
2606-RISCY-b-1-c20-u0.7-m2-p5-f1,2606,RISCY-b,1,20,0.7,2,5,1
2023-RISCY-b-1-c2-u0.7-m2-p4-f0,2023,RISCY-b,1,2,0.7,2,4,0
2317-RISCY-b-1-c5-u0.8-m3-p5-f0,2317,RISCY-b,1,5,0.8,3,5,0
2307-RISCY-b-1-c5-u0.8-m2-p3-f0,2307,RISCY-b,1,5,0.8,2,3,0
2192-RISCY-b-1-c2-u0.8-m2-p5-f1,2192,RISCY-b,1,2,0.8,2,5,1
2676-RISCY-b-1-c20-u0.85-m2-p3-f1,2676,RISCY-b,1,20,0.85,2,3,1
2483-RISCY-b-1-c5-u0.9-m3-p5-f1,2483,RISCY-b,1,5,0.9,3,5,1
2345-RISCY-b-1-c5-u0.9-m1-p1-f0,2345,RISCY-b,1,5,0.9,1,1,0
2012-RISCY-b-1-c2-u0.7-m1-p1-f0,2012,RISCY-b,1,2,0.7,1,1,0
2260-RISCY-b-1-c5-u0.7-m2-p2-f0,2260,RISCY-b,1,5,0.7,2,2,0
2499-RISCY-b-1-c20-u0.7-m2-p6-f0,2499,RISCY-b,1,20,0.7,2,6,0
2673-RISCY-b-1-c20-u0.85-m1-p8-f1,2673,RISCY-b,1,20,0.85,1,8,1
2594-RISCY-b-1-c20-u0.7-m1-p1-f1,2594,RISCY-b,1,20,0.7,1,1,1
2574-RISCY-b-1-c20-u0.9-m1-p2-f0,2574,RISCY-b,1,20,0.9,1,2,0
2274-RISCY-b-1-c5-u0.7-m3-p8-f0,2274,RISCY-b,1,5,0.7,3,8,0
